AGENCYID,AGENCYTITLE,CLASSIFICATION,SERVICETYPE,FULLORPARTTIME,ANNUALSALARY
58090,OUS - Portland State University,ART UT Salary Pool < .50,Faculty,Part-Time,"$9,996.00 "
58090,OUS - Portland State University,SBA UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,ADM UP Sr Admissions Counselor,Other professionals,Full-Time,"$42,696.00 "
58090,OUS - Portland State University,INR UP Rsch Wildlife Biologist,Faculty,Full-Time,"$48,816.00 "
58090,OUS - Portland State University,CHE UP Prof,Faculty,Full-Time,"$123,804.00 "
58090,OUS - Portland State University,SBA UP Asc Prof,Faculty,Full-Time,"$106,272.00 "
58090,OUS - Portland State University,Office Specialist 2,Classified Staff,Full-Time,"$37,127.00 "
58090,OUS - Portland State University,PSY UT Salary Pool < .50,Faculty,Part-Time,"$6,664.00 "
58090,OUS - Portland State University,IST UP Asst Professor,Faculty,Full-Time,"$43,268.00 "
58090,OUS - Portland State University,PHL UP Assistant Professor,Faculty,Full-Time,"$58,140.00 "
58090,OUS - Portland State University,PAD UT Salary Pool < .50,Faculty,Part-Time,"$4,084.00 "
58090,OUS - Portland State University,Laboratory Technician 1,Classified Staff,Full-Time,"$13,937.00 "
58090,OUS - Portland State University,BIO UT Adjunct Pool,Faculty,Part-Time,"$5,160.00 "
58090,OUS - Portland State University,DRS UT Hourly AFT,Faculty,Full-Time,"$43,474.00 "
58090,OUS - Portland State University,LIB UP SocialSciencesLibrarian,Other professionals,Full-Time,"$70,380.00 "
58090,OUS - Portland State University,ARC UX School Director,Executive/Admin and managerial,Full-Time,"$108,072.00 "
58090,OUS - Portland State University,OGS UU Data Systems Manager,Technical and paraprofessional,Full-Time,"$51,492.00 "
58090,OUS - Portland State University,EDU UP Asc Prof,Faculty,Full-Time,"$65,637.00 "
58090,OUS - Portland State University,REC UP CoordMrkting&Outreach,Other professionals,Full-Time,"$52,800.00 "
58090,OUS - Portland State University,Administrative Program Spec,Classified Staff,Full-Time,"$33,945.00 "
58090,OUS - Portland State University,ART UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,LIN UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,FLL UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,MEN UP Asst Prof,Faculty,Full-Time,"$43,596.00 "
58090,OUS - Portland State University,LAS UX SrFinclAnalyst-SciRsch,Other professionals,Full-Time,"$79,740.00 "
58090,OUS - Portland State University,PHE UT Salary Pool < .50,Faculty,Part-Time,"$2,499.00 "
58090,OUS - Portland State University,DRS UT Hourly AFT,Faculty,Part-Time,"$15,280.00 "
58090,OUS - Portland State University,Administrative Program Assist,Classified Staff,Full-Time,"$42,708.00 "
58090,OUS - Portland State University,CNF UT Salary Pool <.5,Faculty,Part-Time,"$4,998.00 "
58090,OUS - Portland State University,ENG UP Professor,Faculty,Full-Time,"$86,238.00 "
58090,OUS - Portland State University,UTC UX OTREC Director,Other professionals,Full-Time,"$87,651.00 "
58090,OUS - Portland State University,ISS UP SustainCommDirector,Other professionals,Full-Time,"$72,264.00 "
58090,OUS - Portland State University,Accountant 1,Classified Staff,Full-Time,"$44,719.00 "
58090,OUS - Portland State University,PHY UP Prof,Faculty,Full-Time,"$136,314.00 "
58090,OUS - Portland State University,Oper Systems-Network Analyst,Classified Staff,Full-Time,"$65,928.00 "
58090,OUS - Portland State University,MTH UP Prof,Faculty,Full-Time,"$91,845.00 "
58090,OUS - Portland State University,ENG UP Asc Professor,Faculty,Full-Time,"$68,499.00 "
58090,OUS - Portland State University,MTH UP Prof,Faculty,Full-Time,"$90,198.00 "
58090,OUS - Portland State University,FLL UT Salary Pool < .50,Faculty,Part-Time,"$3,898.00 "
58090,OUS - Portland State University,SPA UX Mgr DeptRschAdmin SSW,Other professionals,Full-Time,"$70,008.00 "
58090,OUS - Portland State University,EEP UP Middle School EducCoord,Other professionals,Full-Time,"$45,144.00 "
58090,OUS - Portland State University,ART UP Professor,Faculty,Full-Time,"$82,395.00 "
58090,OUS - Portland State University,PHY UT Salary Pool < .50,Faculty,Part-Time,"$10,064.00 "
58090,OUS - Portland State University,HRC UU HRIS Analyst/Proj Man,Technical and paraprofessional,Full-Time,"$60,540.00 "
58090,OUS - Portland State University,Early Childhood Assistant,Classified Staff,Full-Time,"$28,745.00 "
58090,OUS - Portland State University,POF UU COS & VP Pub Rel,Executive/Admin and managerial,Part-Time,"$83,205.00 "
58090,OUS - Portland State University,ENG UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,EMN UX Microscopist/FacMgrCEMN,Faculty,Full-Time,"$94,308.00 "
58090,OUS - Portland State University,LIN UP Instructor,Faculty,Full-Time,"$40,005.00 "
58090,OUS - Portland State University,LIN UP Prog & Adm Outreach Mgr,Other professionals,Full-Time,"$47,160.00 "
58090,OUS - Portland State University,CMP UT Salary Pool < .50,Faculty,Part-Time,"$5,097.00 "
58090,OUS - Portland State University,CUS UP Research Assistant,Faculty,Full-Time,"$40,426.00 "
58090,OUS - Portland State University,PSY UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,SBA UP Instructor,Faculty,Full-Time,"$61,110.00 "
58090,OUS - Portland State University,EDU UP Senior Instructor I,Faculty,Full-Time,"$56,655.00 "
58090,OUS - Portland State University,OSA UP MiddleEastRetentionSpec,Other professionals,Full-Time,"$45,144.00 "
58090,OUS - Portland State University,Info Technology Consultant,Classified Staff,Full-Time,"$40,904.00 "
58090,OUS - Portland State University,HST UP Professor,Faculty,Full-Time,"$85,572.00 "
58090,OUS - Portland State University,PHE UT Salary Pool < .50,Faculty,Part-Time,"$5,831.00 "
58090,OUS - Portland State University,PSR UU Mgr CampusDesign & Plan,Executive/Admin and managerial,Full-Time,"$80,628.00 "
58090,OUS - Portland State University,LIB UX Dean Univ Librarian,Executive/Admin and managerial,Full-Time,"$148,620.00 "
58090,OUS - Portland State University,CSS UX Comms & Records Sup,Other professionals,Full-Time,"$49,716.00 "
58090,OUS - Portland State University,EDU UT Salary Pool < .50,Faculty,Part-Time,"$1,666.00 "
58090,OUS - Portland State University,IAS UP Inclusive Tech Coord,Other professionals,Full-Time,"$44,496.00 "
58090,OUS - Portland State University,Medical Aide,Classified Staff,Full-Time,"$35,463.00 "
58090,OUS - Portland State University,Office Specialist 2,Classified Staff,Full-Time,"$32,551.00 "
58090,OUS - Portland State University,ESL UT Salary Pool < .50,Faculty,Part-Time,"$1,666.00 "
58090,OUS - Portland State University,SBA UT Salary Pool < .50,Faculty,Part-Time,"$6,728.00 "
58090,OUS - Portland State University,CHE UP Professor,Faculty,Full-Time,"$80,748.00 "
58090,OUS - Portland State University,FPA UX Stage Production Coord,Skilled crafts,Full-Time,"$50,484.00 "
58090,OUS - Portland State University,Registered Nurse 1,Classified Staff,Full-Time,"$59,466.00 "
58090,OUS - Portland State University,RSP UX Vice President,Executive/Admin and managerial,Full-Time,"$269,292.00 "
58090,OUS - Portland State University,SBA UP Academic Advisor,Other professionals,Full-Time,"$51,120.00 "
58090,OUS - Portland State University,MEN UX Department Chair,Executive/Admin and managerial,Full-Time,"$120,612.00 "
58090,OUS - Portland State University,ESL UP Instructor,Faculty,Full-Time,"$40,005.00 "
58090,OUS - Portland State University,UGE UX InterimCo-DirMentorProg,Other professionals,Full-Time,"$45,756.00 "
58090,OUS - Portland State University,FAP UU Custodial OperationsSup,Other professionals,Full-Time,"$42,000.00 "
58090,OUS - Portland State University,CCF UX Operations Manager,Other professionals,Full-Time,"$67,020.00 "
58090,OUS - Portland State University,SBA UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,FLL UP Associate Professor,Faculty,Full-Time,"$66,303.00 "
58090,OUS - Portland State University,Office Specialist 2,Classified Staff,Full-Time,"$31,158.00 "
58090,OUS - Portland State University,IST UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,GGR UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,RES UX Area Coordinator,Other professionals,Full-Time,"$36,204.00 "
58090,OUS - Portland State University,ART UT Salary Pool < .50,Faculty,Part-Time,"$8,330.00 "
58090,OUS - Portland State University,Office Specialist 2,Classified Staff,Full-Time,"$27,871.00 "
58090,OUS - Portland State University,FLL UP Sr Instructor I,Faculty,Full-Time,"$44,046.00 "
58090,OUS - Portland State University,ENG UP Senior Instructor II,Faculty,Full-Time,"$44,046.00 "
58090,OUS - Portland State University,SCS UP Research Asst - CAT,Faculty,Full-Time,"$80,064.00 "
58090,OUS - Portland State University,GLG UP Rsch Asst,Faculty,Full-Time,"$27,760.00 "
58090,OUS - Portland State University,CWP UX CrossSysTrainPrgmDir,Other professionals,Full-Time,"$83,664.00 "
58090,OUS - Portland State University,EDU UT CI Cohort Pool,Faculty,Part-Time,"$2,083.00 "
58090,OUS - Portland State University,EEN UP Asc Prof,Faculty,Full-Time,"$60,297.00 "
58090,OUS - Portland State University,HST UT Salary Pool < .50,Faculty,Part-Time,"$6,664.00 "
58090,OUS - Portland State University,Office Specialist 2,Classified Staff,Full-Time,"$27,871.00 "
58090,OUS - Portland State University,SBA UP Asst Prof,Faculty,Full-Time,"$65,136.00 "
